kind,element,n,median_abs_residual,max_abs_residual
offdiag,Se,5172,0.041674070000000014,1.88124155
offdiag,Cl,4692,0.043262645,0.86302531
offdiag,P,4212,0.05770286,0.93320146
offdiag,Te,3432,0.047801045,3.44471769
offdiag,Br,3348,0.03580178,0.78353962
offdiag,F,3324,0.03906652499999999,0.49725009000000003
offdiag,I,3186,0.03087239499999999,2.43277187
offdiag,Si,3078,0.03144562499999999,2.59727715
offdiag,Na,2808,0.04934153000000001,0.85175282
offdiag,Li,2760,0.006905024999999999,0.43795646
offdiag,Ca,2724,0.023652395000000007,9.32364479
offdiag,As,2694,0.04379217499999999,1.7528349699999999
offdiag,Sb,2538,0.022725975,0.79600274
offdiag,K,2496,0.02965437,1.2287056
offdiag,Cs,2478,0.006455225,20.67059717
offdiag,H,2430,0.022841725,0.45564773999999997
offdiag,Ba,2382,0.02799922,0.8373120199999999
offdiag,Ge,2334,0.060106939999999984,2.5461245999999997
offdiag,Zn,2172,0.069384845,3.1801945500000004
offdiag,Mg,2166,0.04351043999999998,0.9914821100000001
offdiag,Sr,2100,0.020813164999999984,3.54262077
offdiag,Rb,1974,0.015396604999999994,0.7107466499999999
offdiag,C,1902,0.04202354000000004,3.5135889000000002
offdiag,Cu,1536,0.02250536000000003,8.65552112
offdiag,B,1518,0.05664907500000001,1.34825208
offdiag,Sn,1446,0.00139597,1.91271974
offdiag,Ga,1326,0.02326083000000001,1.4563917799999997
offdiag,Al,1290,0.0043324199999999966,1.0404729000000001
offdiag,W,1230,0.10039512,4.43491093
offdiag,Nb,1212,0.04461537000000001,2.0186798599999998
offdiag,Ag,1194,0.022266355,1.73653713
offdiag,Ta,1188,0.018312859999999986,3.92763914
offdiag,Y,1176,0.00123827,0.80632979
offdiag,Tl,1134,0.012588915,0.48468794000000004
offdiag,Bi,1116,0.017261405000000007,0.8081968500000001
offdiag,Cd,1104,0.02138966,0.43001800999999995
offdiag,Ti,1062,0.018229640000000047,0.8057863700000001
offdiag,Hg,1038,0.052054505,0.48292179
offdiag,Sc,1026,0.014143054999999988,2.37668938
offdiag,Re,1020,0.429996015,15.593938329999999
offdiag,Mo,990,0.11149848499999998,3.11539464
offdiag,Au,972,0.012102755000000005,0.68725737
offdiag,Fe,954,0.034511739999999985,2.88025151
offdiag,Pt,948,0.042037999999999964,0.98488478
offdiag,Hf,912,0.0019497850000000372,9.66972972
offdiag,In,906,0.0056539449999999936,0.36381388000000003
offdiag,Zr,906,0.0026733149999999956,4.21094162
offdiag,V,876,0.04431390500000002,0.69813038
offdiag,Pb,870,0.004127870000000006,0.56785498
offdiag,Be,834,0.018899910000000006,0.47938435
offdiag,La,834,0.007469745000000007,0.81940771
offdiag,Co,828,0.02788712,0.69022584
offdiag,Mn,798,0.012427889999999997,0.7796049499999999
offdiag,Ni,780,5.195e-06,1.65826152
offdiag,Os,768,0.05824660500000001,11.13297341
offdiag,Ir,762,0.000161655,1.1315228
offdiag,Rh,720,0.029078579999999993,0.92223606
offdiag,Cr,684,0.025678769999999962,2.00813472
offdiag,Pd,594,0.0067721200000000065,1.0153709
offdiag,Ru,582,0.004533325,0.73649133
offdiag,Tm,480,7.2100000000000004e-06,0.81554109
offdiag,Er,438,0.00013947999999999999,0.7398674
offdiag,Sm,426,0.0029160650000000024,0.77293784
offdiag,Pr,384,0.06819929999999999,0.7636429
offdiag,Nd,366,0.013354665000000043,0.36838931
offdiag,Tb,330,0.010685604999999987,0.17942499
offdiag,Dy,330,0.0020478599999999986,0.38396912
offdiag,Ho,264,0.01165641499999998,0.48612155000000007
offdiag,Lu,234,0.00140051,0.11569394
offdiag,Tc,120,0.08867334000000003,0.98720959
offdiag,Ce,120,0.014542185,0.47183509999999995
offdiag,Th,120,8.344999999999999e-06,0.19803498
offdiag,Xe,78,0.048070925000000014,0.20120006000000001
offdiag,U,54,1.6705e-05,0.23195451999999994
offdiag,Gd,48,0.019317889999999997,0.06038622999999999
