frame_index,material_id,formula,n_atoms,ref_bec_asr_max_abs,pred_bec_asr_max_abs
242,mp-755293,OSb2Sr4,7,0.023009999999999753,2.3999999854140697e-07
1126,mp-19376,Mn6O18Ti6,30,0.02276999999999907,4.310000005780523e-06
236,mp-28453,Au2Cs2I6,10,0.02274999999999966,2.5000000006270007e-07
193,mp-27488,N10Ta6,16,0.02255999999999969,2.390000000351833e-06
24,mp-288,Pt2S2,4,0.022240000000000038,4.799999997473492e-07
91,mp-1477,Ba8Si16,24,0.022200000000003328,7.299999955634462e-07
1181,mp-10616,AsBaLi,3,0.022069999999999812,2.399999998736746e-07
81,mp-568848,Cl16Ga8,24,0.021699999999997832,7.400000006096974e-07
605,mp-28683,Cl4I4Ta2,10,0.02126000000000028,3.2000000071974455e-07
795,mp-567259,CdI2,3,0.02116999999999991,3.500000000933312e-07
1296,mp-924128,HfNiSn,3,0.021149999999999558,4.700000001411908e-07
381,mp-13334,O18Sn6Zn6,30,0.021060000000002077,2.3800000077400796e-06
1290,mp-567636,FeSbV,3,0.020989999999999842,1.189999999873237e-06
1128,mp-768310,Bi6La6O18,30,0.02094000000002527,1.100000000309187e-06
386,mp-754009,Bi6O18Sc6,30,0.020790000000008746,2.880000000704541e-06
128,mp-2293,Mn4Se4,8,0.02076000000000011,1.5599999998450187e-06
775,mp-1247,Ir4Sb8,12,0.020739999999999092,4.899999999086191e-07
900,mp-569600,As4Ge3,7,0.020730000000000803,3.600000000325565e-07
1401,mp-16337,Ga2HgTe4,7,0.02016999999999891,3.49999999649242e-07
52,mp-1222,Cr3Si6,9,0.01949000000000245,1.429999996638287e-06
816,mp-11191,Cr3Si6,9,0.019260000000001387,2.3800000006346522e-06
46,mp-568690,Br2Cd,3,0.01923000000000008,1.7999999990525595e-07
388,mp-850194,Ni6O18Ti6,30,0.01919999999997657,1.7699999923515009e-06
1127,mp-754513,Mn6O18Zr6,30,0.018809999999976235,2.7399999851240864e-06
1081,mp-5475,N2NaTa,4,0.018679999999999808,1.250000000396767e-06
627,mp-22169,Mo2O8Pb2,12,0.01857000000000042,1.6799999982275438e-06
1049,mp-675800,Li10P6Ti2,18,0.018569999999999975,5.399999976063441e-07
763,mp-754815,Br6Y2,8,0.01856000000000102,3.499999992051528e-07
1087,mp-9382,N2SrZr,4,0.017949999999999022,9.500000004436515e-07
443,mp-28145,Cl6PdRb2,9,0.01773000000000069,1.300000005421964e-07
840,mp-569030,Be9Cl18,27,0.017569999999998975,3.90000000072277e-07
