time_ps,P_autocorr_avg,alpha_autocorr_avg
3.718399999999999750e+01,-2.191402274910650080e-02,1.839931969674500969e-02
3.718599999999999994e+01,-2.237057475306677284e-02,2.043452188783656184e-02
3.718800000000000239e+01,-2.190324966915533147e-02,2.180790018050012338e-02
3.718999999999999773e+01,-2.033591169465108831e-02,2.252577108203621808e-02
3.719200000000000017e+01,-1.760914516136822747e-02,2.262001201100990316e-02
3.719400000000000261e+01,-1.379603231494820788e-02,2.214155089402936386e-02
3.719599999999999795e+01,-9.098097248876415438e-03,2.115297077651297555e-02
3.719800000000000040e+01,-3.821596008700855595e-03,1.972075543343216122e-02
3.720000000000000284e+01,1.662331044543793532e-03,1.790819424696303216e-02
3.720199999999999818e+01,6.967178861363194399e-03,1.577027333883073562e-02
3.720400000000000063e+01,1.174219773483279987e-02,1.335209772894700546e-02
3.720600000000000307e+01,1.571687241016482550e-02,1.069144823085751636e-02
3.720799999999999841e+01,1.873197109500832416e-02,7.824702502174702215e-03
3.721000000000000085e+01,2.075279493683893431e-02,4.794198656580819611e-03
3.721200000000000330e+01,2.186337467651918581e-02,1.654678407729888185e-03
3.721399999999999864e+01,2.224328307406881963e-02,-1.522974849488499798e-03
3.721600000000000108e+01,2.213123868051191517e-02,-4.651394644812133043e-03
3.721800000000000352e+01,2.178122913431912791e-02,-7.629458305625653677e-03
3.721999999999999886e+01,2.141778723989468808e-02,-1.034739147440697990e-02
3.722200000000000131e+01,2.119691505648007082e-02,-1.269362485654550003e-02
3.722399999999999665e+01,2.117853703188910322e-02,-1.456299788432574745e-02
3.722599999999999909e+01,2.131478491358718141e-02,-1.586577423238586665e-02
3.722800000000000153e+01,2.145627260126753769e-02,-1.653648915165701477e-02
3.722999999999999687e+01,2.137602693090848160e-02,-1.654111220735261095e-02
3.723199999999999932e+01,2.080780120791931101e-02,-1.588095340291976673e-02
3.723400000000000176e+01,1.949310401899862627e-02,-1.459208500176398249e-02
3.723599999999999710e+01,1.722942252532349422e-02,-1.274028404148910311e-02
3.723799999999999955e+01,1.391162252868113035e-02,-1.041242281721392257e-02
3.724000000000000199e+01,9.559407420769036601e-03,-7.706432960043985321e-03
3.724199999999999733e+01,4.325922048391332882e-03,-4.721821279196150752e-03
3.724399999999999977e+01,-1.514191061266958755e-03,-1.552320675454626955e-03
3.724600000000000222e+01,-7.595550638721791994e-03,1.718799303186815302e-03
3.724799999999999756e+01,-1.350663966787636790e-02,5.020865754360257643e-03
3.725000000000000000e+01,-1.884123523458434632e-02,8.295868751964511137e-03
3.725200000000000244e+01,-2.324890269418275132e-02,1.149652074863154183e-02
3.725399999999999778e+01,-2.647701748193732885e-02,1.458252690263773035e-02
3.725600000000000023e+01,-2.839871329598778193e-02,1.751522748885595698e-02
3.725800000000000267e+01,-2.902318951873114269e-02,2.025161065361259782e-02
3.725999999999999801e+01,-2.848746898829528085e-02,2.273906437227210184e-02
3.726200000000000045e+01,-2.703119361982860361e-02,2.491273102097654041e-02
3.726400000000000290e+01,-2.495813378029140481e-02,2.669689388471358990e-02
3.726599999999999824e+01,-2.258986680548497397e-02,2.801068224830495848e-02
3.726800000000000068e+01,-2.021815004240268623e-02,2.877699020403783059e-02
3.727000000000000313e+01,-1.806285946911144469e-02,2.893230092045483148e-02
3.727199999999999847e+01,-1.624191676838586049e-02,2.843523256541480651e-02
3.727400000000000091e+01,-1.475806491789245604e-02,2.727230818867843951e-02
3.727600000000000335e+01,-1.350488695532908560e-02,2.546062820076579886e-02
3.727799999999999869e+01,-1.229136962343259365e-02,2.304765707336865060e-02
3.728000000000000114e+01,-1.088106300635639442e-02,2.010840263541098516e-02
3.728199999999999648e+01,-9.039245858036341202e-03,1.674021729392055277e-02
3.728399999999999892e+01,-6.580040687941036276e-03,1.305541660274300679e-02
3.728600000000000136e+01,-3.405335736314591983e-03,9.172426770287650521e-03
3.728799999999999670e+01,4.708899003788532861e-04,5.206833283909318918e-03
3.728999999999999915e+01,4.916715956884329039e-03,1.263869330234005436e-03
3.729200000000000159e+01,9.695347188637931657e-03,-2.566215613190560990e-03
3.729399999999999693e+01,1.449449091815650618e-02,-6.209373589840920700e-03
3.729599999999999937e+01,1.896703115270934395e-02,-9.605959620920112921e-03
3.729800000000000182e+01,2.277656391730457225e-02,-1.270718444324747155e-02
3.729999999999999716e+01,2.564112156771111359e-02,-1.547124974907403486e-02
3.730199999999999960e+01,2.736900366345822525e-02,-1.786008214219464083e-02
3.730400000000000205e+01,2.788206629996562574e-02,-1.983706495455858990e-02
3.730599999999999739e+01,2.722347987495860391e-02,-2.136567969786128812e-02
3.730799999999999983e+01,2.554911805498357585e-02,-2.240926951166640965e-02
3.731000000000000227e+01,2.310372608293336655e-02,-2.293235834983600382e-02
3.731199999999999761e+01,2.018519448548996773e-02,-2.290414560894399668e-02
3.731400000000000006e+01,1.710192728699740788e-02,-2.230408446449873641e-02
3.731600000000000250e+01,1.412953205074817843e-02,-2.112872715688062994e-02
3.731799999999999784e+01,1.147339421108883352e-02,-1.939807046320723635e-02
3.732000000000000028e+01,9.242968787702896677e-03,-1.715956910354301743e-02
3.732200000000000273e+01,7.441969293452658542e-03,-1.448848156000701916e-02
3.732399999999999807e+01,5.975933311360856481e-03,-1.148436241718181483e-02
3.732600000000000051e+01,4.675836660149164555e-03,-8.264535667040164360e-03
3.732800000000000296e+01,3.333729825345611852e-03,-4.956166928267883263e-03
3.732999999999999829e+01,1.744316707727171017e-03,-1.688418101269040586e-03
3.733200000000000074e+01,-2.543807406143678077e-04,1.414524961134339554e-03
3.733400000000000318e+01,-2.747857901931178431e-03,4.239398860876790118e-03
3.733599999999999852e+01,-5.724708922319745111e-03,6.688898019846165922e-03
3.733800000000000097e+01,-9.071968335588258270e-03,8.685594518809210476e-03
3.734000000000000341e+01,-1.258685771203074157e-02,1.017411380670229723e-02
3.734199999999999875e+01,-1.600296878063843867e-02,1.112101524251744161e-02
3.734400000000000119e+01,-1.902681815286982187e-02,1.151223296249567589e-02
3.734599999999999653e+01,-2.137935186109046759e-02,1.134915404668878844e-02
3.734799999999999898e+01,-2.283616474139532615e-02,1.064453086172958279e-02
3.735000000000000142e+01,-2.326045596861749110e-02,9.419570886206367344e-03
3.735199999999999676e+01,-2.262389541268773618e-02,7.702679450331927601e-03
3.735399999999999920e+01,-2.101214734937545056e-02,5.529621790363751198e-03
3.735600000000000165e+01,-1.861415466793403528e-02,2.944337779059710836e-03
3.735799999999999699e+01,-1.569666169632311786e-02,-3.858734681680975867e-07
3.735999999999999943e+01,-1.256759317040969173e-02,-3.242736318593215147e-03
3.736200000000000188e+01,-9.533730212059455741e-03,-6.712039135854063615e-03
3.736399999999999721e+01,-6.858944650874458128e-03,-1.032900888645222649e-02
3.736599999999999966e+01,-4.729269555544194335e-03,-1.400619698755891859e-02
3.736800000000000210e+01,-3.229902221220389003e-03,-1.764929154762332267e-02
3.736999999999999744e+01,-2.337471373573970189e-03,-2.115990590023518469e-02
3.737199999999999989e+01,-1.928460974090564183e-03,-2.444011764143776827e-02
3.737400000000000233e+01,-1.802333503339699711e-03,-2.739793441226100884e-02
3.737599999999999767e+01,-1.715577515994431024e-03,-2.995240095904232527e-02
3.737800000000000011e+01,-1.421608364418977619e-03,-3.203688718872724217e-02
3.738000000000000256e+01,-7.105226074813613280e-04,-3.359992475939341250e-02
3.738199999999999790e+01,5.570202279903817581e-04,-3.460406423792552338e-02
3.738400000000000034e+01,2.426649956911113622e-03,-3.502388519237532166e-02
3.738600000000000279e+01,4.841101894732471704e-03,-3.484441061116493737e-02
3.738799999999999812e+01,7.646321868717997905e-03,-3.406072315625431612e-02
3.739000000000000057e+01,1.061196037954488004e-02,-3.267846674426001796e-02
3.739200000000000301e+01,1.346330058152176053e-02,-3.071443326890978265e-02
3.739399999999999835e+01,1.591996330720260935e-02,-2.819655709414547323e-02
3.739600000000000080e+01,1.773568864154123972e-02,-2.516335936710326071e-02
3.739800000000000324e+01,1.873323905892810073e-02,-2.166358007058703100e-02
3.739999999999999858e+01,1.882922961813527155e-02,-1.775676748161225324e-02
3.740200000000000102e+01,1.804508374609370414e-02,-1.351485579262722003e-02
3.740400000000000347e+01,1.650251561707528555e-02,-9.023901223481957737e-03
3.740599999999999881e+01,1.440423220457914648e-02,-4.384500270780070617e-03
3.740800000000000125e+01,1.200299112215974517e-02,2.903665267478584030e-04
3.740999999999999659e+01,9.563851829212833763e-03,4.880271580419219025e-03
3.741199999999999903e+01,7.325556174939945771e-03,9.264190831589488515e-03
3.741400000000000148e+01,5.467034127905256655e-03,1.332773111924836877e-02
3.741599999999999682e+01,4.083967579902310178e-03,1.696921921495630342e-02
3.741799999999999926e+01,3.178884193979973453e-03,2.010415467002786907e-02
3.742000000000000171e+01,2.665815997024030808e-03,2.266814674146178793e-02
3.742199999999999704e+01,2.388441500089140065e-03,2.461881758542580970e-02
3.742399999999999949e+01,2.148592259626920607e-03,2.593672645946813390e-02
3.742600000000000193e+01,1.740399718540558329e-03,2.662488810637302430e-02
3.742799999999999727e+01,9.849029802068366615e-04,2.670625176179185212e-02
3.742999999999999972e+01,-2.400837842422995578e-04,2.621905926624764141e-02
3.743200000000000216e+01,-1.979090754238584538e-03,2.521096158536542328e-02
3.743399999999999750e+01,-4.189971218665232422e-03,2.373360033470748448e-02
3.743599999999999994e+01,-6.747861459194218203e-03,2.183944108465159933e-02
3.743800000000000239e+01,-9.461413392150334889e-03,1.958190297281917763e-02
3.743999999999999773e+01,-1.209897396751751300e-02,1.701833297575017223e-02
3.744200000000000017e+01,-1.442090989261181344e-02,1.421411099835007130e-02
3.744400000000000261e+01,-1.621345898320582582e-02,1.124574613165905262e-02
3.744599999999999795e+01,-1.731911016211986482e-02,8.201523944274870595e-03
3.744800000000000040e+01,-1.765895165267595060e-02,5.179676241270989544e-03
3.745000000000000284e+01,-1.724339572118655656e-02,2.284991025567454943e-03
3.745199999999999818e+01,-1.616943090289920532e-02,-3.750607039283323217e-04
3.745400000000000063e+01,-1.460462091383825031e-02,-2.694586325837796965e-03
3.745600000000000307e+01,-1.276014273425400171e-02,-4.574393763366844945e-03
3.745799999999999841e+01,-1.085719951542676344e-02,-5.928436786041952483e-03
3.746000000000000085e+01,-9.092119336558382794e-03,-6.691192599481155141e-03
3.746200000000000330e+01,-7.605810061124976783e-03,-6.824492810396018232e-03
3.746399999999999864e+01,-6.462557198286969160e-03,-6.321720637527048804e-03
3.746600000000000108e+01,-5.641484859363838332e-03,-5.207766722411458736e-03
3.746800000000000352e+01,-5.042089773845556677e-03,-3.534456229038093669e-03
3.746999999999999886e+01,-4.502769001783212682e-03,-1.372825435000041890e-03
3.747200000000000131e+01,-3.829394617397473277e-03,1.195334828406455999e-03
3.747399999999999665e+01,-2.829488792762816125e-03,4.084343230935929062e-03
3.747599999999999909e+01,-1.346648685616059788e-03,7.208825823315445636e-03
3.747800000000000153e+01,7.098590999237230177e-04,1.048551526783844147e-02
3.747999999999999687e+01,3.344854087730061466e-03,1.383384162029594952e-02
3.748199999999999932e+01,6.469430868977443794e-03,1.717617348381687489e-02
3.748400000000000176e+01,9.906948940865195272e-03,2.043785672443801382e-02
3.748599999999999710e+01,1.341220465413013423e-02,2.354651928346110021e-02
3.748799999999999955e+01,1.670125174947155802e-02,2.643019560986867994e-02
3.749000000000000199e+01,1.948767022473831337e-02,2.901433021066529214e-02
3.749199999999999733e+01,2.152001529908991947e-02,3.121901465080870186e-02
3.749399999999999977e+01,2.261491950726909200e-02,3.295818150718649031e-02
3.749600000000000222e+01,2.268088627817413036e-02,3.414245297560666859e-02
3.749799999999999756e+01,2.172919982059978022e-02,3.468596113341207432e-02
3.750000000000000000e+01,1.987040116695583739e-02,3.451586033937106834e-02
3.750200000000000244e+01,1.729707820400018178e-02,3.358222313612555660e-02
3.750399999999999778e+01,1.425575559706444319e-02,3.186585534338569337e-02
3.750600000000000023e+01,1.101232519977476260e-02,2.938257001131055687e-02
3.750800000000000267e+01,7.816257923541848965e-03,2.618351213819321288e-02
3.750999999999999801e+01,4.868871314022160147e-03,2.235231749145541458e-02
3.751200000000000045e+01,2.300179505893816707e-03,1.799980937934897440e-02
3.751400000000000290e+01,1.574120129747414831e-04,1.325674636195766851e-02
3.751599999999999824e+01,-1.593359163846781983e-03,8.264591615581955153e-03
3.751800000000000068e+01,-3.053176339676597940e-03,3.164910609765545727e-03
3.752000000000000313e+01,-4.365995006762932347e-03,-1.911440732273335429e-03
3.752199999999999847e+01,-5.688192994381966426e-03,-6.853156150911031072e-03
3.752400000000000091e+01,-7.156590364928799852e-03,-1.157346392198037831e-02
3.752600000000000335e+01,-8.859998929834326728e-03,-1.600985442138052814e-02
3.752799999999999869e+01,-1.081888038008636810e-02,-2.011918252424826914e-02
3.753000000000000114e+01,-1.297654298594803045e-02,-2.386984701721015303e-02
3.753199999999999648e+01,-1.520342088516436589e-02,-2.723378988699806658e-02
3.753399999999999892e+01,-1.731393086640308637e-02,-3.018037025218099981e-02
3.753600000000000136e+01,-1.909323559664409878e-02,-3.267315756844163532e-02
3.753799999999999670e+01,-2.032956656208111806e-02,-3.466946647140924792e-02
3.753999999999999915e+01,-2.084669478086532968e-02,-3.612210125524804860e-02
3.754200000000000159e+01,-2.053125310279062254e-02,-3.698287488040868237e-02
3.754399999999999693e+01,-1.935044119555799289e-02,-3.720775902251419881e-02
3.754599999999999937e+01,-1.735752253068184245e-02,-3.676374967720798942e-02
