time_ps,P_autocorr_avg,alpha_autocorr_avg
6.583999999999999631e+00,-8.961694193558612798e-03,1.858567646333139298e-02
6.586000000000000298e+00,-6.391153368366064326e-03,1.625609511295422402e-02
6.588000000000000078e+00,-4.813534023714592311e-03,1.239226754146556357e-02
6.589999999999999858e+00,-4.155014917374822217e-03,7.696250454408112666e-03
6.591999999999999638e+00,-4.177030326855921648e-03,3.074814400577184637e-03
6.594000000000000306e+00,-4.520809388316027536e-03,-6.836128069230233001e-04
6.596000000000000085e+00,-4.769724813443213321e-03,-3.130616145059009637e-03
6.597999999999999865e+00,-4.520168468145928896e-03,-4.184204483839509651e-03
6.599999999999999645e+00,-3.450435549698812904e-03,-3.977901583092283491e-03
6.602000000000000313e+00,-1.377348840890572261e-03,-2.646066075884332975e-03
6.604000000000000092e+00,1.707815287096834918e-03,-1.863467482483882923e-04
6.605999999999999872e+00,5.629630167538817072e-03,3.513223221296153491e-03
6.607999999999999652e+00,1.004672272567813836e-02,8.497087118757143398e-03
6.610000000000000320e+00,1.449555277737750274e-02,1.452314850434664219e-02
6.612000000000000099e+00,1.845364815996438160e-02,2.094287556736981401e-02
6.613999999999999879e+00,2.141320558072816460e-02,2.677620489274117402e-02
6.615999999999999659e+00,2.295441926051891915e-02,3.097617926960324550e-02
6.618000000000000327e+00,2.280772889893076250e-02,3.277516033793191619e-02
6.620000000000000107e+00,2.089593974215238695e-02,3.195411172868843630e-02
6.621999999999999886e+00,1.734996050332452203e-02,2.890670788300907929e-02
6.623999999999999666e+00,1.249585953679270382e-02,2.446757435984285578e-02
6.626000000000000334e+00,6.814941510032276537e-03,1.958798984276867786e-02
6.628000000000000114e+00,8.826237702566783411e-04,1.501313232006998288e-02
6.629999999999999893e+00,-4.705333741006424535e-03,1.110508183586965576e-02
6.631999999999999673e+00,-9.408915971583180562e-03,7.872357373588845589e-03
6.634000000000000341e+00,-1.281181664679302556e-02,5.156643608111707508e-03
6.636000000000000121e+00,-1.467206400572690535e-02,2.851322229666248577e-03
6.637999999999999901e+00,-1.494857812577098100e-02,1.023409521104112849e-03
6.639999999999999680e+00,-1.380015106542377065e-02,-1.229491283018451593e-04
6.642000000000000348e+00,-1.155720771145733218e-02,-4.072448908392494469e-04
6.644000000000000128e+00,-8.670332381721717815e-03,1.480181019266920534e-04
6.645999999999999908e+00,-5.642879603825617929e-03,1.235018631771025738e-03
6.647999999999999687e+00,-2.957152798874903080e-03,2.336453657922959656e-03
6.650000000000000355e+00,-1.004534583874875167e-03,2.932370958351062686e-03
6.652000000000000135e+00,-2.957738065830128185e-05,2.736852984195839965e-03
6.653999999999999915e+00,-9.598114505117577035e-05,1.842793544557300633e-03
6.655999999999999694e+00,-1.079515193479629528e-03,6.964736489210687602e-04
6.658000000000000362e+00,-2.688933514383453054e-03,-9.138761962084867305e-05
6.660000000000000142e+00,-4.511940246541557009e-03,-9.181279594165454299e-06
6.661999999999999922e+00,-6.079368199348238362e-03,1.142854931875739990e-03
6.663999999999999702e+00,-6.938235965324648404e-03,3.188022886984380033e-03
6.666000000000000369e+00,-6.722922831342971126e-03,5.675868374251586031e-03
6.668000000000000149e+00,-5.214184995018217306e-03,8.085442669645738142e-03
6.669999999999999929e+00,-2.377467695082894749e-03,1.001566599226765865e-02
6.671999999999999709e+00,1.624882940709904090e-03,1.126625014162555526e-02
6.674000000000000377e+00,6.449303020119290762e-03,1.178342408259315174e-02
6.676000000000000156e+00,1.161245608152774306e-02,1.152634158896092935e-02
6.677999999999999936e+00,1.655266934079644217e-02,1.035549741926536024e-02
6.679999999999999716e+00,2.070310431408957028e-02,8.027774042581068553e-03
6.682000000000000384e+00,2.356649709155947750e-02,4.314915646920527460e-03
6.684000000000000163e+00,2.478131016287498864e-02,-8.157421222385009482e-04
6.685999999999999943e+00,2.417000038275843310e-02,-7.062139429028588961e-03
6.687999999999999723e+00,2.176260145166149934e-02,-1.377850086897302456e-02
6.690000000000000391e+00,1.779229224076049956e-02,-2.012028655262713614e-02
6.692000000000000171e+00,1.266346062568660634e-02,-2.528768759125384416e-02
6.693999999999999950e+00,6.896829455368354289e-03,-2.876004552462808547e-02
6.695999999999999730e+00,1.059341786471943662e-03,-3.041573246766940408e-02
6.698000000000000398e+00,-4.311112561962614220e-03,-3.048780359726898856e-02
6.700000000000000178e+00,-8.775593019018619947e-03,-2.938630018945650318e-02
6.701999999999999957e+00,-1.204860218271966085e-02,-2.748275637017861747e-02
6.703999999999999737e+00,-1.402958801203632415e-02,-2.496775203066017509e-02
6.706000000000000405e+00,-1.480715169806060862e-02,-2.185021599588178251e-02
6.708000000000000185e+00,-1.463571073244149777e-02,-1.808814871893393503e-02
6.709999999999999964e+00,-1.388842101139559429e-02,-1.376546820922353725e-02
6.711999999999999744e+00,-1.299352023127307680e-02,-9.199921290535728949e-03
6.714000000000000412e+00,-1.236359845060197235e-02,-4.901871843436433895e-03
6.716000000000000192e+00,-1.232820158016110709e-02,-1.388970165487788408e-03
6.717999999999999972e+00,-1.307946347499347114e-02,1.049249706029870780e-03
6.719999999999999751e+00,-1.463864880038828059e-02,2.501483574673394900e-03
6.722000000000000419e+00,-1.684831054069676343e-02,3.400419389300301208e-03
6.724000000000000199e+00,-1.939129684538158302e-02,4.303121746230301539e-03
6.725999999999999979e+00,-2.183403710367769895e-02,5.591449014062770985e-03
6.727999999999999758e+00,-2.368822538518794082e-02,7.249800665780092336e-03
6.730000000000000426e+00,-2.448217601042740679e-02,8.842319728931229139e-03
6.732000000000000206e+00,-2.383183056256095791e-02,9.706257617609310301e-03
6.733999999999999986e+00,-2.150112405654315550e-02,9.262380990334870279e-03
6.735999999999999766e+00,-1.744293176814562529e-02,7.282500657128345573e-03
6.738000000000000433e+00,-1.181436631748647437e-02,3.981811525483915093e-03
6.740000000000000213e+00,-4.963955726820740676e-03,-9.877742385633462620e-05
6.741999999999999993e+00,2.607852044683630407e-03,-4.344681283619394006e-03
6.743999999999999773e+00,1.030936702570132806e-02,-8.314445921230378608e-03
6.746000000000000441e+00,1.753100966872938801e-02,-1.185448282932563026e-02
6.748000000000000220e+00,2.372101581301229792e-02,-1.503298700711327464e-02
6.750000000000000000e+00,2.845279775149372678e-02,-1.794454866148977729e-02
6.751999999999999780e+00,3.147462688686315790e-02,-2.050697261874483840e-02
6.753999999999999559e+00,3.273476646549997038e-02,-2.237567497729076385e-02
6.756000000000000227e+00,3.237890180619570207e-02,-2.303627261445793592e-02
6.758000000000000007e+00,3.072052082253288671e-02,-2.203606407313677545e-02
6.759999999999999787e+00,2.818891196074144873e-02,-1.923363390683421534e-02
6.761999999999999567e+00,2.526230382485874018e-02,-1.492859199362586535e-02
6.764000000000000234e+00,2.239579468840783086e-02,-9.793132901146998567e-03
6.766000000000000014e+00,1.995427424026141941e-02,-4.633152976717203400e-03
6.767999999999999794e+00,1.815985491486584238e-02,-9.932317538283959638e-05
6.769999999999999574e+00,1.706128683359691908e-02,3.505994015555471532e-03
6.772000000000000242e+00,1.652978137667250255e-02,6.237580304522966253e-03
6.774000000000000021e+00,1.628191690054049331e-02,8.348889142641188754e-03
6.775999999999999801e+00,1.592649646657658472e-02,1.007320990432053129e-02
6.777999999999999581e+00,1.502868286774348451e-02,1.147352853155314718e-02
